"","repo","user","nationality","coordinates","x","y"
164,"GeoNode/geonode","atrawog","Vienna,Austria","(48.2081743, 16.3738189)",16.3738189,48.2081743
166,"GeoNode/geonode","samperd","Ottawa","(45.4215296, -75.6971931)",-75.69719309999999,45.4215296
167,"GeoNode/geonode","ndufrane","Belgium","(50.503887, 4.469936)",4.469936,50.503887
168,"GeoNode/geonode","brylie","Tampere, Finland","(61.4977524, 23.7609535)",23.7609535,61.4977524
169,"GeoNode/geonode","cuttlefish","Victoria, BC, Canada","(48.4284207, -123.3656444)",-123.3656444,48.4284207
170,"GeoNode/geonode","GeospatialPython","Bay Saint Louis, MS","(30.3088076, -89.3300461)",-89.33004609999999,30.3088076
171,"GeoNode/geonode","maurimiranda","Mendoza, Argentina","(-32.8894587, -68.8458386)",-68.8458386,-32.8894587
172,"GeoNode/geonode","ppasq","Torino","(45.070312, 7.6868565)",7.686856499999999,45.070312
175,"GeoNode/geonode","JJediny","Washington DC","(38.9071923, -77.0368707)",-77.0368707,38.9071923
176,"GeoNode/geonode","jean","Bangkok","(13.7563309, 100.5017651)",100.5017651,13.7563309
177,"GeoNode/geonode","smellman","Tokyo, Japan","(35.6894875, 139.6917064)",139.6917064,35.6894875
178,"GeoNode/geonode","oware","Nairobi","(-1.2920659, 36.8219462)",36.8219462,-1.2920659
179,"GeoNode/geonode","smathermather","Cleveland, OH","(41.49932, -81.6943605)",-81.6943605,41.49932
180,"GeoNode/geonode","ebradbury","Portland, ME","(43.661471, -70.2553259)",-70.2553259,43.66147100000001
182,"GeoWebCache/geowebcache","jonescc","Australia","(-25.274398, 133.775136)",133.775136,-25.274398
186,"GeoWebCache/geowebcache","bschaepper","Switzerland","(46.818188, 8.227512)",8.227511999999999,46.818188
187,"GeoWebCache/geowebcache","emilzse","Sweden","(60.128161, 18.643501)",18.643501,60.12816100000001
189,"GeoWebCache/geowebcache","jodygarnett","Victoria","(28.8052674, -97.0035982)",-97.0035982,28.8052674
190,"GeoWebCache/geowebcache","halset","Stavanger","(58.9699756, 5.7331074)",5.7331074,58.9699756
191,"GeoWebCache/geowebcache","vickdw","Saint Louis, MO","(38.6270025, -90.1994042)",-90.19940419999999,38.6270025
192,"GeoWebCache/geowebcache","akashisama","Hobart, Tasmania","(-42.8821377, 147.3271949)",147.3271949,-42.8821377
193,"GeoWebCache/geowebcache","smithkm","Victoria, British Columbia","(48.4284207, -123.3656444)",-123.3656444,48.4284207
195,"GeoWebCache/geowebcache","thijsbrentjens","Utrecht, The Netherlands","(52.0907374, 5.1214201)",5.1214201,52.09073739999999
198,"GeoWebCache/geowebcache","bmmpxf","Portland, OR","(45.5230622, -122.6764815)",-122.6764815,45.5230622
199,"GeoWebCache/geowebcache","xguaita","Mallorca. Spain","(39.6952629, 3.0175712)",3.0175712,39.6952629
200,"GeoWebCache/geowebcache","buehner","Bonn, Germany","(50.73743, 7.0982068)",7.0982068,50.73743
201,"GeoWebCache/geowebcache","natalvc","Antwerp, Belgium","(51.2194475, 4.4024643)",4.4024643,51.2194475
204,"GeoWebCache/geowebcache","dvntucker","Canada","(56.130366, -106.346771)",-106.346771,56.130366
210,"GeoWebCache/geowebcache","cjmaynar","Maryland","(39.0457549, -76.6412712)",-76.64127119999999,39.0457549
211,"GeoWebCache/geowebcache","bencaradocdavies","Dunedin, New Zealand","(-45.8787605, 170.5027976)",170.5027976,-45.8787605
213,"GeoWebCache/geowebcache","dromagnoli","Viareggio","(43.8657267, 10.2513103)",10.2513103,43.8657267
214,"GeoWebCache/geowebcache","royvanrijn","Netherlands","(52.132633, 5.291266)",5.291265999999999,52.132633
216,"GeoWebCache/geowebcache","whatnick","Adelaide","(-34.9284989, 138.6007456)",138.6007456,-34.9284989
217,"GeoWebCache/geowebcache","ericdahl","Sunnyvale, CA","(37.36883, -122.0363496)",-122.0363496,37.36883
218,"GeoWebCache/geowebcache","xlhomme","France","(46.227638, 2.213749)",2.213749,46.227638
219,"GeoWebCache/geowebcache","frdeboffles","TUCSON, AZ, USA","(32.2217429, -110.926479)",-110.926479,32.2217429
220,"GeoWebCache/geowebcache","nmco","Portugal","(39.399872, -8.224454)",-8.224454,39.39987199999999
221,"GeoWebCache/geowebcache","fabricebrito","Rome, Italy","(41.9027835, 12.4963655)",12.4963655,41.9027835
225,"GeoWebCache/geowebcache","simboss","Via di Montramito 3, Massarosa, Lucca, Italy","(43.882837, 10.299161)",10.299161,43.88283699999999
226,"KDE/marble","tsdgeos","L'Hospitalet de Llobregat, Barcelona","(41.3661865, 2.1164942)",2.1164942,41.3661865
228,"KDE/marble","shubhashreedhar","Durgapur, West Bengal","(23.5204443, 87.3119227)",87.3119227,23.5204443
231,"KDE/marble","drehscheibe","Austria","(47.516231, 14.550072)",14.550072,47.516231
232,"KDE/marble","krop","France","(46.227638, 2.213749)",2.213749,46.227638
234,"KDE/marble","pgquiles","Alicante (Spain)","(38.3459963, -0.4906855)",-0.4906855,38.3459963
238,"KDE/marble","calincru","Bucharest, Romania","(44.4267674, 26.1025384)",26.1025384,44.4267674
240,"KDE/marble","tcanabrava","Campinas","(-22.9098833, -47.0625812)",-47.0625812,-22.9098833
246,"KDE/marble","cvandonderen","Nuremberg, Germany","(49.4521018, 11.0766654)",11.0766654,49.4521018
247,"KDE/marble","shashanksingh","banglore , india","(12.9715987, 77.5945627)",77.5945627,12.9715987
249,"KDE/marble","martenjj","Twickenham, UK","(51.444581, -0.335246)",-0.335246,51.44458100000001
252,"KDE/marble","adriaandegroot","Netherlands","(52.132633, 5.291266)",5.291265999999999,52.132633
253,"KDE/marble","ObKo","Novosibirsk, Russia","(55.0083526, 82.9357327)",82.9357327,55.00835259999999
254,"KDE/marble","basyskom-torsten-rahn","Nuremberg","(49.4521018, 11.0766654)",11.0766654,49.4521018
255,"KDE/marble","ImperialLlama","Bucharest, Romania","(44.4267674, 26.1025384)",26.1025384,44.4267674
256,"KDE/marble","AndreiDuma","Romania","(45.943161, 24.96676)",24.96676,45.943161
260,"KDE/marble","Chocimier","Polska","(51.919438, 19.145136)",19.145136,51.919438
261,"KDE/marble","levex","San Francisco, CA","(37.7749295, -122.4194155)",-122.4194155,37.7749295
262,"KDE/marble","sedwards2009","Netherlands","(52.132633, 5.291266)",5.291265999999999,52.132633
263,"KDE/marble","pradeepto","Pune","(18.5204303, 73.8567437)",73.8567437,18.5204303
264,"KDE/marble","mboquien","Chile","(-35.675147, -71.542969)",-71.542969,-35.675147
265,"KDE/marble","bholst","Freiburg im Breisgau (Germany)","(47.9990077, 7.8421043)",7.842104299999999,47.9990077
266,"KDE/marble","jpetso","Toronto","(43.653226, -79.3831843)",-79.3831843,43.653226
268,"KDE/marble","jlayt","London","(51.5073509, -0.1277583)",-0.1277583,51.5073509
271,"KDE/marble","antlarr","Spain","(40.463667, -3.74922)",-3.74922,40.46366700000001
272,"KDE/marble","agarciamontoro","Granada, Andalucía, Spain","(37.1773363, -3.5985571)",-3.5985571,37.1773363
275,"KDE/marble","tzapzoor","Bucharest, Romania","(44.4267674, 26.1025384)",26.1025384,44.4267674
279,"KDE/marble","kbal","Geel, Belgium","(51.16257, 4.99084)",4.990839999999999,51.16257
285,"KDE/marble","davispuh","Latvia","(56.879635, 24.603189)",24.603189,56.879635
286,"KDE/marble","aspotashev","Moscow; Saint-Petersburg","(59.9245851, 30.386475)",30.386475,59.9245851
287,"KDE/marble","JordiPolo","Japan","(36.204824, 138.252924)",138.252924,36.204824
288,"KDE/marble","adraghici","London, UK","(51.5073509, -0.1277583)",-0.1277583,51.5073509
295,"KDE/marble","Earthwings","Karlsruhe, Germany","(49.0068901, 8.4036527)",8.4036527,49.0068901
298,"KDE/marble","JLP","Bohinjska Bistrica, Slovenia","(46.2715884, 13.9564098)",13.9564098,46.2715884
300,"KDE/marble","utkuaydin","İstanbul, Turkey","(41.0082376, 28.9783589)",28.9783589,41.0082376
302,"KDE/marble","nsams","Salzburg, Austria","(47.80949, 13.05501)",13.05501,47.80949
305,"KDE/marble","krf","Cologne, Germany","(50.937531, 6.9602786)",6.9602786,50.937531
306,"KDE/marble","Sanjiban","Bangalore, India","(12.9715987, 77.5945627)",77.5945627,12.9715987
307,"KDE/marble","rku","Radebeul, Germany","(51.1115648, 13.6493707)",13.6493707,51.1115648
310,"KDE/marble","adamdbrw","Warsaw","(52.2296756, 21.0122287)",21.0122287,52.2296756
311,"KDE/marble","haraldF","Berlin, Germany","(52.5200066, 13.404954)",13.404954,52.52000659999999
312,"KDE/marble","lliehu","Tampere, Finland","(61.4977524, 23.7609535)",23.7609535,61.4977524
313,"KDE/marble","abhgangwar","New Delhi, India","(28.6139391, 77.2090212)",77.2090212,28.6139391
314,"KDE/marble","simonschmeisser","Freiburg, Germany","(47.9990077, 7.8421043)",7.842104299999999,47.9990077
316,"KDE/marble","marekhakala","Europe","(54.5259614, 15.2551187)",15.2551187,54.5259614
